time,x,y,heading (rad),speed
5.65,3.88825e-16,6.35,1.5708,2
5.7,3.94949e-16,6.45,1.5708,2
5.75,4.01072e-16,6.55,1.5708,2
5.8,4.07195e-16,6.65,1.5708,2
5.85,4.13318e-16,6.75,1.5708,2
5.9,4.19442e-16,6.85,1.5708,2
5.95,4.25565e-16,6.95,1.5708,2
6,4.31688e-16,7.05,1.5708,2
6.05,4.37811e-16,7.15,1.5708,2
6.1,4.43934e-16,7.25,1.5708,2
6.15,4.50058e-16,7.35,1.5708,2
6.2,4.56181e-16,7.45,1.5708,2
6.25,4.62304e-16,7.55,1.5708,2
6.3,4.68427e-16,7.65,1.5708,2
6.35,4.74551e-16,7.75,1.5708,2
6.4,4.80674e-16,7.85,1.5708,2
6.45,4.86797e-16,7.95,1.5708,2
6.5,4.9292e-16,8.05,1.5708,2
6.55,4.99044e-16,8.15,1.5708,2
6.6,5.05167e-16,8.25,1.5708,2
6.65,5.1129e-16,8.35,1.5708,2
6.7,5.17413e-16,8.45,1.5708,2
6.75,5.23537e-16,8.55,1.5708,2
6.8,5.2966e-16,8.65,1.5708,2
6.85,5.35783e-16,8.75,1.5708,2
6.9,5.41906e-16,8.85,1.5708,2
6.95,5.48029e-16,8.95,1.5708,2
7,5.54153e-16,9.05,1.5708,2
7.05,5.60276e-16,9.15,1.5708,2
7.1,5.66399e-16,9.25,1.5708,2
7.15,5.72522e-16,9.35,1.5708,2
7.2,5.78646e-16,9.45,1.5708,2
7.25,5.84769e-16,9.55,1.5708,2
7.3,5.90892e-16,9.65,1.5708,2
7.35,5.97015e-16,9.75,1.5708,2
7.4,6.03139e-16,9.85,1.5708,2
7.45,6.09262e-16,9.95,1.5708,2
7.5,-0.00249974,10.05,1.5958,2
7.55,-0.00499948,10.1499,1.5958,2
7.6,-0.00749922,10.2499,1.5958,2
7.65,-0.00999896,10.3499,1.5958,2
7.7,-0.0124987,10.4498,1.5958,2
7.75,-0.0149984,10.5498,1.5958,2
7.8,-0.0174982,10.6498,1.5958,2
7.85,-0.0199979,10.7498,1.5958,2
7.9,-0.0224977,10.8497,1.5958,2
7.95,-0.0249974,10.9497,1.5958,2
8,-0.0274971,11.0497,1.5958,2
8.05,-0.0299969,11.1496,1.5958,2
8.1,-0.0324966,11.2496,1.5958,2
8.15,-0.0349964,11.3496,1.5958,2
8.2,-0.0374961,11.4495,1.5958,2
8.25,-0.0399958,11.5495,1.5958,2
8.3,-0.0424956,11.6495,1.5958,2
8.35,-0.0449953,11.7494,1.5958,2
8.4,-0.0474951,11.8494,1.5958,2
8.45,-0.0499948,11.9494,1.5958,2
8.5,-0.0524945,12.0493,1.5958,2
8.55,-0.0549943,12.1493,1.5958,2
8.6,-0.057494,12.2493,1.5958,2
8.65,-0.0599938,12.3493,1.5958,2
8.7,-0.0624935,12.4492,1.5958,2
8.75,-0.0649932,12.5492,1.5958,2
8.8,-0.067493,12.6492,1.5958,2
8.85,-0.0699927,12.7491,1.5958,2
8.9,-0.0724924,12.8491,1.5958,2
8.95,-0.0749922,12.9491,1.5958,2
9,-0.0774919,13.049,1.5958,2
9.05,-0.0799917,13.149,1.5958,2
9.1,-0.0824914,13.249,1.5958,2
9.15,-0.0849911,13.3489,1.5958,2
9.2,-0.0874909,13.4489,1.5958,2
9.25,-0.0899906,13.5489,1.5958,2
9.3,-0.0924904,13.6488,1.5958,2
9.35,-0.0949901,13.7488,1.5958,2
9.4,-0.0974898,13.8488,1.5958,2
9.45,-0.0999896,13.9488,1.5958,2
9.5,-0.102489,14.0487,1.5958,2
9.55,-0.104989,14.1487,1.5958,2
9.6,-0.107489,14.2487,1.5958,2
9.65,-0.109989,14.3486,1.5958,2
9.7,-0.112488,14.4486,1.5958,2
9.75,-0.114988,14.5486,1.5958,2
9.8,-0.117488,14.6485,1.5958,2
9.85,-0.119988,14.7485,1.5958,2
9.9,-0.122487,14.8485,1.5958,2
9.95,-0.124987,14.9484,1.5958,2
10,-0.127487,15.0484,1.5958,2
10.05,-0.129986,15.1484,1.5958,2
10.1,-0.132486,15.2483,1.5958,2
10.15,-0.134986,15.3483,1.5958,2
10.2,-0.137486,15.4483,1.5958,2
10.25,-0.139985,15.5483,1.5958,2
10.3,-0.142485,15.6482,1.5958,2
10.35,-0.144985,15.7482,1.5958,2
10.4,-0.147485,15.8482,1.5958,2
10.45,-0.149984,15.9481,1.5958,2
